window_id,p_cond3_exercise,p_cond3_Hyperventilation,p_cond3_UBFC Control task,p_cond3_Campanella Manual task,p_cond3_EPM Fear,p_cond3_EPM Anger
0,0.26997132748365404,0.12342302575707435,0.12922302708029748,0.10944970101118087,0.13199451565742493,0.11340826079249382
1,0.2577139973640442,0.11076755821704865,0.12645699232816696,0.14321456104516983,0.12936807721853255,0.12515965849161148
2,0.3866597950458527,0.18128592222929002,0.19291481524705886,0.21790111660957337,0.20516554713249208,0.2030900776386261
3,0.5095185339450836,0.29638344049453735,0.29694475829601286,0.34713850617408754,0.328730171918869,0.31978373825550077
4,0.6155486822128295,0.444273042678833,0.3619555652141571,0.4629024267196655,0.3878911554813385,0.41977172493934634
5,0.2671380192041397,0.11921763718128205,0.13267624527215957,0.14851401299238204,0.1410069465637207,0.1234310284256935
6,0.1827644497156143,0.10069244801998138,0.10540747344493866,0.13295980542898178,0.10186715424060822,0.10642005354166031
7,0.20281626284122467,0.08767049610614777,0.09363499879837037,0.11605021506547927,0.11027716100215912,0.09417206794023514
8,0.23450024127960206,0.10897527933120728,0.12341268509626388,0.12890343368053436,0.1440195173025131,0.12037653625011444
9,0.5002361536026001,0.37050712704658506,0.35220017433166506,0.3582571089267731,0.4254885852336884,0.3809771597385406
10,0.3705367028713226,0.20259880721569062,0.1699223831295967,0.23487952649593352,0.2211953207850456,0.19732978641986848
11,0.4732047140598297,0.2885647118091583,0.2765316367149353,0.3336629867553711,0.3214321553707123,0.30343666672706604
12,0.4757473230361938,0.3166583180427551,0.29277404248714445,0.38970099687576293,0.3394241988658905,0.3025073826313019
13,0.5168991565704346,0.39441007375717163,0.39621261358261106,0.36310839653015137,0.4539534091949463,0.4074018061161041
14,0.5921394467353821,0.3622962415218353,0.34083652794361113,0.4051819622516632,0.40326906442642213,0.3865916132926941
15,0.6337980985641479,0.516478168964386,0.4993687629699707,0.545632392168045,0.5182005584239959,0.5178507745265961
16,0.6316002488136292,0.5554999768733978,0.541261863708496,0.5617621541023254,0.5898375630378723,0.5866750955581665
17,0.4295306921005249,0.2718402773141861,0.2847615391016006,0.318507781624794,0.26629151999950407,0.2956200838088989
18,0.42197108268737793,0.28234589993953707,0.28938167095184325,0.30001731514930724,0.2939334064722061,0.30063748359680176
19,0.44308074116706847,0.3098248511552811,0.2792956382036209,0.3201214671134949,0.30611567497253417,0.31810800433158876
20,0.37159389853477476,0.22998449206352234,0.22148353457450867,0.2469050645828247,0.2400318294763565,0.23066866099834443
21,0.376313304901123,0.2631354659795761,0.26181111931800843,0.3081715375185013,0.26649669110774993,0.2826767176389694
22,0.3776947855949402,0.2365344524383545,0.2410656914114952,0.2772232204675674,0.2404626876115799,0.23533083349466324
23,0.30087069272994993,0.18340330719947814,0.1585700586438179,0.21676880717277527,0.20645844042301179,0.1905829429626465
24,0.33653162121772767,0.21022561192512512,0.208183716237545,0.25078568458557127,0.23176990896463395,0.22708919793367385
