window_id,dataset,subject,label,p_ext,p_win
0,WESAD,WESAD:S10,Baseline,0.1440533548593521,0.001744024339132011
1,WESAD,WESAD:S10,Baseline,0.1616256982088089,0.00061332545010373
2,WESAD,WESAD:S10,Baseline,0.2350964993238449,0.000944740604609251
3,WESAD,WESAD:S10,Baseline,0.29269006848335266,0.000944740604609251
4,WESAD,WESAD:S10,Baseline,0.3550167381763458,0.0014118258841335773
5,WESAD,WESAD:S10,Baseline,0.12361598014831543,0.005882635246962309
6,WESAD,WESAD:S10,Baseline,0.1439618617296219,0.0036731897853314877
7,WESAD,WESAD:S10,Baseline,0.0986027643084526,0.0006139287143014371
8,WESAD,WESAD:S10,Baseline,0.11988650262355804,0.007049428764730692
9,WESAD,WESAD:S10,Baseline,0.4002903699874878,0.05219855159521103
10,WESAD,WESAD:S10,Baseline,0.28662335872650146,0.0005972101353108883
11,WESAD,WESAD:S10,Baseline,0.24370543658733368,0.0009674232569523156
12,WESAD,WESAD:S10,Baseline,0.2517484724521637,0.0006570647237822413
13,WESAD,WESAD:S10,Baseline,0.40941351652145386,0.02107277885079384
14,WESAD,WESAD:S10,Baseline,0.3774738907814026,0.001401713932864368
15,WESAD,WESAD:S10,Baseline,0.4726189374923706,0.0013870641123503447
16,WESAD,WESAD:S10,Baseline,0.5512712001800537,0.001426557544618845
17,WESAD,WESAD:S10,Baseline,0.33356040716171265,0.0013539883075281978
18,WESAD,WESAD:S10,Baseline,0.3349267840385437,0.0014795291936025023
19,WESAD,WESAD:S10,Baseline,0.38227593898773193,0.0008985658059827983
20,WESAD,WESAD:S10,Baseline,0.30374836921691895,0.0009242143132723868
21,WESAD,WESAD:S10,Baseline,0.31486570835113525,0.0045903935097157955
22,WESAD,WESAD:S10,Baseline,0.28526973724365234,0.0008107635076157749
23,WESAD,WESAD:S10,Baseline,0.24184849858283997,0.0009300856618210673
24,WESAD,WESAD:S10,Baseline,0.2993651330471039,0.0009610948036424816
25,WESAD,WESAD:S10,Baseline,0.23199190199375153,0.000632667273748666
26,WESAD,WESAD:S10,Baseline,0.4131515622138977,0.02822653017938137
27,WESAD,WESAD:S10,Baseline,0.11343803256750107,0.0005787494592368603
28,WESAD,WESAD:S10,Baseline,0.05512610822916031,0.000977515708655119
29,WESAD,WESAD:S10,Baseline,0.17887678742408752,0.002277456223964691
30,WESAD,WESAD:S10,Baseline,0.28200048208236694,0.0021239875350147486
31,WESAD,WESAD:S10,Baseline,0.23024345934391022,0.002517840825021267
32,WESAD,WESAD:S10,Baseline,0.3596709966659546,0.0009627393446862698
33,WESAD,WESAD:S10,Baseline,0.19900597631931305,0.0008646778296679258
34,WESAD,WESAD:S10,Baseline,0.1392425149679184,0.0012722918763756752
35,WESAD,WESAD:S10,Baseline,0.252327024936676,0.0009946376085281372
36,WESAD,WESAD:S10,Baseline,0.2421206533908844,0.000923706276807934
37,WESAD,WESAD:S10,Baseline,0.6478994488716125,0.0019181343959644437
38,WESAD,WESAD:S10,Amusement,0.39992213249206543,0.0010917297331616282
39,WESAD,WESAD:S10,Amusement,0.2542327344417572,0.0010100308572873473
40,WESAD,WESAD:S10,Amusement,0.20431748032569885,0.0010034679435193539
41,WESAD,WESAD:S10,Amusement,0.18303997814655304,0.0008925432339310646
42,WESAD,WESAD:S10,Amusement,0.14666126668453217,0.0012940173037350178
43,WESAD,WESAD:S10,Amusement,0.10560788959264755,0.0008610556833446026
44,WESAD,WESAD:S10,Amusement,0.1249275952577591,0.0007996430504135787
45,WESAD,WESAD:S10,Amusement,0.09224262833595276,0.0008610556833446026
46,WESAD,WESAD:S10,Amusement,0.11327563226222992,0.0007535936892963946
47,WESAD,WESAD:S10,Amusement,0.12452731281518936,0.0007008660468272865
48,WESAD,WESAD:S10,Amusement,0.1175931766629219,0.0014616380212828517
49,WESAD,WESAD:S10,Meditation,0.2291867434978485,0.0008206993225030601
50,WESAD,WESAD:S10,Meditation,0.18907718360424042,0.0005301253404468298
51,WESAD,WESAD:S10,Meditation,0.16163329780101776,0.000824986316729337
52,WESAD,WESAD:S10,Meditation,0.17625483870506287,0.0008114726515486836
53,WESAD,WESAD:S10,Meditation,0.17214062809944153,0.0007876971503719687
54,WESAD,WESAD:S10,Meditation,0.16891682147979736,0.0007220226107165217
55,WESAD,WESAD:S10,Meditation,0.17494484782218933,0.0006443457095883787
56,WESAD,WESAD:S10,Meditation,0.15301764011383057,0.0004990728921256959
57,WESAD,WESAD:S10,Meditation,0.14960423111915588,0.0004791060637217015
58,WESAD,WESAD:S10,Meditation,0.15813478827476501,0.000529577664565295
59,WESAD,WESAD:S10,Meditation,0.1802988052368164,0.0006048534996807575
60,WESAD,WESAD:S10,Meditation,0.17604510486125946,0.0005537988035939634
61,WESAD,WESAD:S10,Stress,0.4314538240432739,0.9954769015312195
62,WESAD,WESAD:S10,Stress,0.4150443375110626,0.9781126379966736
63,WESAD,WESAD:S10,Stress,0.8503633141517639,0.9979689717292786
64,WESAD,WESAD:S10,Stress,0.6307308673858643,0.9969670176506042
65,WESAD,WESAD:S10,Stress,0.8548755049705505,0.9970884919166565
66,WESAD,WESAD:S10,Stress,0.77968430519104,0.9960857629776001
67,WESAD,WESAD:S10,Stress,0.8355982899665833,0.9912055134773254
68,WESAD,WESAD:S10,Stress,0.6106154322624207,0.6556156873703003
69,WESAD,WESAD:S10,Stress,0.7892948985099792,0.9607956409454346
70,WESAD,WESAD:S10,Stress,0.8660019040107727,0.9962024092674255
71,WESAD,WESAD:S10,Stress,0.7786120772361755,0.9872574210166931
72,WESAD,WESAD:S10,Stress,0.8447986245155334,0.9920692443847656
73,WESAD,WESAD:S10,Stress,0.8124693632125854,0.967399001121521
74,WESAD,WESAD:S10,Stress,0.8586987257003784,0.9433073997497559
75,WESAD,WESAD:S10,Stress,0.7094511985778809,0.9844294786453247
76,WESAD,WESAD:S10,Stress,0.6285799741744995,0.9696095585823059
77,WESAD,WESAD:S10,Stress,0.6607101559638977,0.9802425503730774
78,WESAD,WESAD:S10,Stress,0.5715172290802002,0.9217051267623901
79,WESAD,WESAD:S10,Stress,0.6057227849960327,0.30709806084632874
80,WESAD,WESAD:S10,Stress,0.7694759964942932,0.22134441137313843
81,WESAD,WESAD:S10,Stress,0.7184366583824158,0.2669413387775421
82,WESAD,WESAD:S10,Stress,0.7810009717941284,0.4574163556098938
83,WESAD,WESAD:S10,Stress,0.4628455936908722,0.018609710037708282
84,WESAD,WESAD:S10,Meditation,0.42908093333244324,0.0043835933320224285
85,WESAD,WESAD:S10,Meditation,0.3668401837348938,0.3216477930545807
86,WESAD,WESAD:S10,Meditation,0.3945801258087158,0.3216477930545807
87,WESAD,WESAD:S10,Meditation,0.40755346417427063,0.02781890332698822
88,WESAD,WESAD:S10,Meditation,0.4444994628429413,0.02384033240377903
89,WESAD,WESAD:S10,Meditation,0.4198598265647888,0.021946072578430176
90,WESAD,WESAD:S10,Meditation,0.5159157514572144,0.02458280883729458
91,WESAD,WESAD:S10,Meditation,0.4140194058418274,0.02757229655981064
92,WESAD,WESAD:S10,Meditation,0.5483012795448303,0.02757229655981064
93,WESAD,WESAD:S10,Meditation,0.5705633759498596,0.02757229655981064
94,WESAD,WESAD:S10,Meditation,0.559894323348999,0.02757229655981064
95,WESAD,WESAD:S10,Meditation,0.6339081525802612,0.02757229655981064
0,WESAD,WESAD:S11,Baseline,0.12649306654930115,0.014631460420787334
1,WESAD,WESAD:S11,Baseline,0.29749342799186707,0.1020892783999443
2,WESAD,WESAD:S11,Baseline,0.3745056688785553,0.06096876785159111
3,WESAD,WESAD:S11,Baseline,0.5920969247817993,0.17340846359729767
4,WESAD,WESAD:S11,Baseline,0.5031091570854187,0.23190687596797943
5,WESAD,WESAD:S11,Baseline,0.261129230260849,0.10193756967782974
6,WESAD,WESAD:S11,Baseline,0.4271489083766937,0.8308104872703552
7,WESAD,WESAD:S11,Baseline,0.4707202613353729,0.8105443716049194
8,WESAD,WESAD:S11,Baseline,0.43945807218551636,0.08968787640333176
9,WESAD,WESAD:S11,Baseline,0.4432780146598816,0.006148986984044313
10,WESAD,WESAD:S11,Baseline,0.30426114797592163,0.0017493480117991567
11,WESAD,WESAD:S11,Baseline,0.8352323174476624,0.031236717477440834
12,WESAD,WESAD:S11,Baseline,0.822952151298523,0.04014696180820465
13,WESAD,WESAD:S11,Baseline,0.7179622650146484,0.011945769190788269
14,WESAD,WESAD:S11,Baseline,0.40139347314834595,0.0026748499367386103
15,WESAD,WESAD:S11,Baseline,0.6075242161750793,0.0009593071881681681
16,WESAD,WESAD:S11,Baseline,0.4527353346347809,0.0008120814454741776
17,WESAD,WESAD:S11,Baseline,0.32639628648757935,0.0006159439799375832
18,WESAD,WESAD:S11,Baseline,0.15600505471229553,0.000669985543936491
19,WESAD,WESAD:S11,Baseline,0.1679907590150833,0.000800245616119355
20,WESAD,WESAD:S11,Baseline,0.3733370304107666,0.002533735940232873
21,WESAD,WESAD:S11,Baseline,0.26306506991386414,0.004418342839926481
22,WESAD,WESAD:S11,Baseline,0.1963350623846054,0.00024185575603041798
23,WESAD,WESAD:S11,Baseline,0.346920907497406,0.0024981568567454815
24,WESAD,WESAD:S11,Baseline,0.29223737120628357,0.0051596155390143394
25,WESAD,WESAD:S11,Baseline,0.47858962416648865,0.007412876933813095
26,WESAD,WESAD:S11,Baseline,0.45035991072654724,0.003187135560438037
27,WESAD,WESAD:S11,Baseline,0.22839896380901337,0.001204288681037724
28,WESAD,WESAD:S11,Baseline,0.07548534870147705,0.00038676592521369457
29,WESAD,WESAD:S11,Baseline,0.09510335326194763,0.001319276518188417
30,WESAD,WESAD:S11,Baseline,0.09729063510894775,0.006511703133583069
31,WESAD,WESAD:S11,Baseline,0.2515055239200592,0.24185819923877716
32,WESAD,WESAD:S11,Baseline,0.09766817837953568,0.00044142184196971357
33,WESAD,WESAD:S11,Baseline,0.05906013026833534,0.00025018889573402703
34,WESAD,WESAD:S11,Baseline,0.08974985778331757,0.00040957098826766014
35,WESAD,WESAD:S11,Baseline,0.04349313676357269,0.00042996215051971376
36,WESAD,WESAD:S11,Baseline,0.04598919674754143,0.0002688660752028227
37,WESAD,WESAD:S11,Baseline,0.09829909354448318,0.0020953405182808638
38,WESAD,WESAD:S11,Stress,0.8417008519172668,0.9507560133934021
