subject_id,dataset,window_id,label,anomaly_level,outlier_votes,max_zscore,hr_mean,eda_mean,temp_mean,acc_mag_mean
S2,WESAD,27,Baseline,0,2,0.5095955446723968,80.927291886196,1.1880535708333333,35.37199999999999,67.15926536491733
S3,WESAD,1,Baseline,0,2,0.8477391879921929,71.14875595553202,4.400258679166667,31.19933333333333,64.62210944191007
S3,WESAD,25,Baseline,0,2,0.5241969836791759,74.04120443740095,5.021807437500001,31.66433333333333,64.66023150731685
S3,WESAD,49,Stress,1,2,1.0232351872831047,69.5798319327731,0.4741653416666666,33.199,63.76036456597205
S3,WESAD,61,Stress,2,2,2.4191570446238906,57.100371747211895,0.3199344333333334,32.919333333333334,64.22405908558633
S3,WESAD,62,Stress,2,2,2.4896030860877687,56.47058823529412,0.3042871541666667,32.919,64.19527072127083
S4,WESAD,77,Stress,0,2,0.8833900273788597,70.83003952569169,0.1985277833333333,32.742,64.89603323939512
S4,WESAD,79,Stress,0,2,0.5608825590397319,75.17619420516836,0.7767353375,32.739333333333335,65.6209457095251
S4,WESAD,80,Stress,0,2,0.46756483167837987,74.77193918378235,1.5251369208333334,32.7305,65.34367350122142
S5,WESAD,1,Baseline,0,2,0.5591324750508219,75.92934352755074,0.7907708875,30.268999999999995,63.07255401313243
S5,WESAD,2,Baseline,0,2,0.5622913183273484,79.11251980982567,0.7654371875,30.23966666666666,63.01617522987945
S5,WESAD,18,Baseline,0,2,0.5480580846217786,77.89251844046365,0.8795867166666667,32.63066666666667,65.09027638792978
S5,WESAD,37,Baseline,0,2,0.47008435822814904,79.02902374670185,1.5049304958333332,34.039833333333334,63.23883117943864
S5,WESAD,38,Baseline,0,2,0.4784366351198867,80.12678288431061,1.437945825,34.36266666666667,63.35743052878195
S5,WESAD,39,Baseline,0,2,0.6095047268953753,73.27855817651735,1.3287308333333334,34.350833333333334,63.59859739271327
S5,WESAD,51,Amusement,1,2,1.2269361796070768,67.75875691335264,0.7468229625,35.223499999999994,63.3050593512526
S5,WESAD,52,Amusement,1,2,1.203910878013971,67.96460176991151,0.7261147166666667,35.151999999999994,63.27437128611617
S5,WESAD,53,Amusement,0,2,0.8562173843489315,71.07296137339056,0.6778561875,35.13433333333333,63.39429287335
S5,WESAD,54,Amusement,1,2,1.1541181486060483,68.40974587372283,0.6890390958333333,35.120333333333335,63.32614199967894
S5,WESAD,55,Amusement,1,3,1.6549490535920255,63.9323467230444,0.7643714458333333,35.1295,63.22262230838847
S5,WESAD,76,Stress,0,2,0.3814382612588434,75.57071634741537,2.2158659333333333,34.2265,63.14593048368504
S5,WESAD,77,Stress,0,2,0.3582823144249298,79.9789085156868,2.4015749916666667,34.19766666666667,62.85890319466895
S5,WESAD,78,Stress,0,2,0.4273266881145538,82.54777070063695,2.526405529166667,34.20516666666667,62.46480524844542
S5,WESAD,79,Stress,0,2,0.3783814901262471,80.2088772845953,2.674890925,34.19166666666667,62.43785187495767
S5,WESAD,80,Stress,0,2,0.3701597060061414,77.48427672955974,2.7749330166666666,34.12266666666666,62.48326746561238
S5,WESAD,81,Stress,0,2,0.3711645092624199,79.8736176935229,2.9364189416666666,34.04966666666667,62.4777171212213
